id,state,adm1_code,"oat (1,000 bushels)",oat%,"barley (1,000 bushels)",barley%,"wheat (1,000 bushels)",wheat%,"corn (1,000 bushels)",corn%,"cotton (1,000 bales)",cotton%,"rice (1,000 cwt)",rice%,"soybean (1,000 bushels)",soybean%,"peanut (1,000 pounds)",peanut%,"tobacco (1,000 pounds)",tobacco%,"flaxseed (1,000 pounds)",flaxseed%,"potato (1,000 cwt)",potato%,"sugarcane (1,000 tons)",sugarcane%,"chickpeas (1,000 cwt)",chickpea%,"maple (1,000 gallons)",maple%,"taro (1,000 pounds)",taro%,"bean (1,000 cwt)",bean%,"sunflower (1,000 cwt)",sunflower%
24,Mississippi,USA-24,0,0,0,0,960,0.052579115,88200,0.621894099,1200,8.025145456,12241,5.378697003,111240,2.689895265,96800,1.578115065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Missouri,USA-25,430,0.657945069,0,0,22940,1.256421772,560880,3.954738801,720,4.815087273,15522,6.820368832,290500,7.024582654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Montana,USA-26,1710,2.616479229,45675,27.62756769,227345,12.45166555,6649,0.04688179,0,0,0,0,0,0,0,0,0,0,40920,27.68606225,0,0,0,0,1622,37.95927919,0,0,0,0,0,0,0,0
27,Nebraska,USA-27,1827,2.795501492,0,0,34030,1.863820092,1790090,12.62184136,0,0,0,0,294120,7.112117901,0,0,0,0,0,0,9306,2.246480369,0,0,0,0,0,0,0,0,3607,10.94257197,54180,1.816651634
28,Nevada,USA-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,New Hampshire,USA-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,3.522415371,0,0,0,0,0,0
30,New Jersey,USA-30,0,0,0,0,1206,0.066052513,12480,0.0879959,0,0,0,0,4278,0.10344635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,New Mexico,USA-31,0,0,0,0,3220,0.176359115,7215,0.05087263,80,0.535009697,0,0,0,0,14400,0.234760919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,New York,USA-32,1696,2.595057761,300,0.181461857,7920,0.4337777,80070,0.564569847,0,0,0,0,15912,0.38476819,424000,6.912404832,0,0,0,0,0,0,0,0,0,0,804,18.38975297,0,0,0,0,0,0
33,North Carolina,USA-33,804,1.230204269,616,0.372601679,21000,1.150168144,107350,0.756919859,540,3.611315455,0,0,58090,1.404674721,0,0,184127,47.28321859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,North Dakota,USA-34,8190,12.53155841,28980,17.52921536,312782,17.13104249,247420,1.744546916,0,0,0,0,190950,4.617363366,0,0,0,0,0,0,22913,5.53122767,0,0,238,5.569857243,0,0,0,0,12794,38.81321482,1338250,44.87142948
35,Ohio,USA-35,900,1.377094331,0,0,34790,1.905445225,564300,3.978853062,0,0,0,0,262980,6.35912133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Oklahoma,USA-36,495,0.757401882,0,0,104000,5.696070807,43200,0.304601191,640,4.280077576,0,0,16200,0.39173232,58800,0.958607085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Oregon,USA-37,700,1.071073369,1800,1.08877114,46400,2.541323898,15665,0.110453187,0,0,0,0,0,0,0,0,0,0,0,0,27000,6.517834727,0,0,0,0,0,0,0,0,0,0,0,0
38,Pennsylvania,USA-38,2750,4.207788233,2280,1.379110111,13490,0.738846108,138000,0.973031584,0,0,0,0,28980,0.700765595,0,0,13440,3.451348568,0,0,0,0,0,0,0,0,169,3.865507777,0,0,0,0,0,0
39,Rhode Island,USA-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,South Carolina,USA-40,0,0,0,0,4845,0.265360222,50160,0.353675828,300,2.006286364,0,0,10500,0.253900578,278800,4.545232234,8400,2.157092855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,South Dakota,USA-41,10780,16.49452988,616,0.372601679,70520,3.862374166,729000,5.140145104,0,0,0,0,223860,5.41316032,0,0,0,0,16875,11.41745602,0,0,0,0,0,0,0,0,0,0,0,0,1167020,39.13009948
42,Tennessee,USA-42,0,0,0,0,13570,0.7432277,140250,0.988896229,610,4.07944894,0,0,81000,1.958661601,0,0,29380,7.544689058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Texas,USA-43,2700,4.131282993,0,0,61500,3.368349563,231680,1.633564908,4748,31.75282552,14597,6.413923711,3740,0.090436968,490000,7.988392377,0,0,0,0,4374,1.055889226,1228,3.463349973,0,0,0,0,0,0,0,0,79980,2.681723841
44,Utah,USA-44,0,0,850,0.514141927,5194,0.284474921,4619,0.032568354,0,0,0,0,0,0,0,0,0,0,18040,12.20568336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Vermont,USA-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220,50.77767612,0,0,0,0,0,0
46,Virginia,USA-46,0,0,441,0.266748929,7800,0.42720531,51240,0.361290858,160,1.070019394,0,0,23520,0.568737294,110700,1.804724563,27555,7.076034955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Washington,USA-47,0,0,6390,3.865137548,165635,9.071814308,18240,0.128609392,0,0,0,0,0,0,0,0,0,0,0,0,98560,23.79251077,0,0,1274,29.81511818,0,0,0,0,1120,3.397748991,0,0
48,West Virginia,USA-48,0,0,0,0,0,0,5472,0.038582818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Wisconsin,USA-49,8253,12.62795501,598,0.361713968,8625,0.472390488,516780,3.643791752,0,0,0,0,100470,2.429465815,0,0,0,0,0,0,27800,6.710955756,0,0,0,0,265,6.061299177,0,0,0,0,0,0
50,Wyoming,USA-50,0,0,5952,3.600203237,2340,0.128161593,6588,0.046451682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,1.601795953,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,65355,100,165324,100,1825820,100,14182479,100,14953,100,227583,100,4135477,100,6133900,100,389413,100,147800,100,414248,100,35457,100,4273,100,4372,100,2985,100,32963,100,2982410,100
,USA,USA,65355,,165324,,1825820,,14182479,,14953,,227583,,4135477,,6133900,,389413,,147800,,414248,,35457,,4273,,4372,,2985,,32963,,2982410,
,,link-,https://downloads.usda.library.cornell.edu/usda-esmis/files/k3569432s/w3764081j/5712n018r/cropan21.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
